Employee Name,Employee Number,State,Zip,DOB,Age,Sex,MaritalDesc,Date of Hire,Skill set,Skill & time taken for transition worked ON,time taken for transition (HRs.),cost,experience
"Panjwani, Nina",1109029531,MA,2351,05-01-1979,38,Female,Married,02-07-2011,"Agile, CSS, HTML, HTTP","Java, OSS",16,32,8
"Pelech, Emil",1307060058,MA,2458,3/17/1988,29,Male,Single,01-10-2011,"AP Technical Lead, SAP ERP, SAP ECC, HANA","Consulting, Project, Sales, Sales Engineer",32,64,8
"Perry, Shakira",1109029186,MA,2176,7/20/1986,31,Female,Single,5/16/2011,"Contract Independent, Contract W2","QA, Test Automated",48,96,6
"Peterson, Kayla ",1307059944,MA,1749,9/23/1973,44,Female,Married,4/26/2010,"SOX, SARBANES OXLEY, SARBANES, AUDIT","Desktop, Hardware, Network, Software",52,104,4
"Pham, Hong",1305057440,MA,2451,03-06-1988,29,Male,Married,07-05-2011,"java, javascript, aws, amazon web services","Analysis, Analyst, Application, Business Analyst",40,80,5
"Pitt, Brad ",1001735072,MA,2451,11/23/1981,36,Male,Single,11-05-2007,COBOL,"System Testing, Load/Performance Testing, FIX.FAST, C/C++",60,120,6
"Power, Morissa",1102024274,MA,1742,10/15/1984,33,Female,Divorced,5/16/2011,"digital analytics, Google, Adobe, Tableau","Agile, CASE, Consulting, Defect Management",80,160,3
"Punjabhi, Louis  ",1401064562,MA,2109,6/19/1961,56,Male,Single,01-06-2014,"Access, Analytical, Computer, Consulting","MATLAB, LabVIEW",24,48,2
"Purinton, Janine",1011022926,MA,2474,9/22/1970,47,Female,Divorced,9/24/2012,"Agile, Analysis, Automated, CSS","Angular.JS, React, Node.js, JavaScript",16,32,5
"Rarrick, Quinn",1208048229,MA,2478,12/31/1984,33,Male,Divorced,9/26/2011,PCI,selenium testing automation,32,64,10
"Rhoads, Thomas",1211050793,MA,2176,7/22/1982,35,Male,Divorced,5/16/2011,"iOS, Android, REST API, SQL","C and C++, Linux, UNIX",48,96,4
"Rivera, Haley  ",1405067642,MA,2171,01-12-1973,45,Female,Married,11/28/2011,"Access, Analytical, Analytical Skills, BASIC","Development, IT, Network, Project",52,104,12
"Robinson, Alain  ",1206038000,MA,1420,01-07-1974,44,Male,Married,01-10-2011,".Net, Access, Analysis, API","Android, Mobile",40,80,4
"Robinson, Cherly",1403065625,MA,1460,01-07-1985,33,Female,Married,01-10-2011,".Net, Access, Analyst, Application","Scheduling, Primavera 6.0, Unifier, MS Project Stadard",60,120,7
"Robinson, Elias",1011022887,MA,1730,1/28/1985,33,Male,widowed,07-08-2013,"Access, Analysis, Analyst, Analytical","AI, Maya, Browzwear, 3D",80,160,9
"Rose, Ashley  ",710007555,MA,1886,12-05-1974,43,Female,Separated,01-06-2014,"Analysis, CRM, Development, Development Manager","Java and Java EE, JSF, Spring, Struts",24,48,3
"Rossetti, Bruno",1405067492,MA,2155,3/18/1987,30,Male,Single,04-04-2011,"FICO, AR, AP, Asset Management","Consulting, Database, Lifecycle, Management",16,32,4
"Saar-Beckles, Melinda",1410070998,MA,1801,06-06-1968,49,Female,Single,07-04-2016,"Cisco, DNS, HTTP, Networking",".NET and C#, SQl",32,64,7
"Sadki, Nore  ",1308060535,MA,2148,12/21/1974,43,Male,Single,01-05-2009,".NET , C#, MVC, RESTful web services","Project Management, Operations Analysis, BANKING, (Financial Services",48,96,8
"Sander, Kamrin",1302053362,MA,2154,07-10-1988,29,Female,Married,9/29/2014,"C++, Developer, Development, JavaScript","Informatica Admin,Oracle,Sql",52,104,3
"Sewkumar, Nori",807010161,MA,2191,03-10-1975,42,Female,Single,9/30/2013,"Unix, IAM, Scripting knowledge, OIM","Analysis, Analyst, Business Analyst, Consulting",80,160,2
"Shields, Seffi",1205033102,MA,2149,8/24/1985,32,Female,Married,8/19/2013,"Java, OSS",".Net, TFS, Web services, WCF",24,48,5
"Smith, Sade",1501071909,MA,2130,02-02-1965,53,Female,Single,11-11-2013,"Consulting, Project, Sales, Sales Engineer","HTML, JavaScript, CSS, AJAX",16,32,7
"Sparks, Taylor  ",1410071137,MA,2093,7/20/1968,49,Female,Married,2/20/2012,"QA, Test Automated",".Net, Algorithms, Developer, JavaScript",32,64,8
"Squatrito, Kristen",1405067138,MA,2359,3/26/1973,44,Female,Divorced,5/13/2013,"Desktop, Hardware, Network, Software","Analyst, Business Analyst, Business Requirements, Consulting",48,96,8
"Stanford,Barbara  M",1111030244,MA,2050,8/25/1982,35,Female,Divorced,01-10-2011,"Analysis, Analyst, Application, Business Analyst",".Net, Algorithms, Developer, JavaScript",52,104,6
"Stoica, Rick",1106026896,MA,2301,3/14/1985,32,Male,Married,2/17/2014,"System Testing, Load/Performance Testing, FIX.FAST, C/C++","Angular JS, Java/J2EE, Spring , Hibernate",40,80,4
"Sullivan, Timothy",1201031310,MA,2747,10-07-1982,35,Male,Married,01-05-2015,"Agile, CASE, Consulting, Defect Management","Algorithm Engineer , Computer vision, Open CV ,algorithm R&D experiences",60,120,5
"Sutwell, Barbara",1407069061,MA,2718,8/15/1968,49,Female,Single,5/14/2012,"MATLAB, LabVIEW","Node.js, JavaScript",80,160,6
"Tavares, Desiree  ",1405067501,MA,1801,04-03-1975,42,Female,Married,4/27/2009,"Angular.JS, React, Node.js, JavaScript","SAP APO, MS Excel, BW reporting, Pharma or Biotech",24,48,3
"Theamstern, Sophia",1404066739,MA,2066,05-09-1965,52,Female,Single,07-05-2011,selenium testing automation,"Linux, OOD, OOP, Programming",16,32,2
"Tinto, Theresa  ",1103024504,MA,1876,7/30/1983,34,Female,Divorced,01-10-2011,"C and C++, Linux, UNIX","Project coordinator,procurement,budget",32,64,5
"Tippett, Jeanette",1409070255,MA,2093,06-05-1967,50,Female,Divorced,2/18/2013,"Development, IT, Network, Project","Oracle R12 E-Business, General Ledger, Asset Management, Projects",48,96,10
"Trang, Mei",1012023152,MA,2021,5/16/1983,34,Female,Single,2/17/2014,"Android, Mobile","Scientific Software, Business Analyst, Drug Development, biotech",52,104,4
"Veera, Abdellah ",1203032235,MA,2171,1/31/1987,30,Male,Divorced,8/13/2012,"Scheduling, Primavera 6.0, Unifier, MS Project Stadard","Application, C++, Development, Engineer",40,80,12
"Volk, Colleen",1011022814,MA,2747,06-03-1986,31,Female,Married,9/26/2011,"AI, Maya, Browzwear, 3D","Developer, Hardware, Java, Linux",60,120,4
"Von Massenbach, Anna",1106026474,MA,2124,04-06-1985,32,Female,Single,07-05-2015,"Java and Java EE, JSF, Spring, Struts","C#, SQL, Stored Procedures, .NET",80,160,7
"Wallace, Theresa",1101023619,MA,1887,08-02-1980,37,Female,Single,8/13/2012,"Consulting, Database, Lifecycle, Management","Algorithms, C++, Developer, Development",24,48,9
"Whittier, Scott",1307060212,MA,2030,5/24/1987,30,Male,Single,01-10-2011,".NET and C#, SQl","business development, sales, staffing",16,32,3
"Wilber, Barry",1101023839,MA,2324,09-09-1965,52,Male,Married,5/16/2011,"Project Management, Operations Analysis, BANKING, (Financial Services","Analyst, Applications, Computer, Database",32,64,4
"Williams, Jacquelyn  ",1308060671,MA,2109,10-02-1969,48,Female,Single,01-09-2012,"Informatica Admin,Oracle,Sql","DevOps Engineer, Chef, Jenkins",48,96,7
"Ybarra, Catherine ",1001268402,MA,2458,05-04-1982,35,Female,Single,09-02-2008,"Analysis, Analyst, Business Analyst, Consulting","Network Engineering, IP Video Delivery, Content Delivery Networks, Linux System Admin",52,104,8
"Zima, Colleen",1211051232,MA,1730,8/17/1978,39,Female,widowed,9/29/2014,".Net, TFS, Web services, WCF",Java and C/C++,80,160,3
"Akinkuolie, Sarah",1005019209,MA,1810,9/19/1988,29,Female,Married,07-05-2011,"HTML, JavaScript, CSS, AJAX","CISSP, CISM, CISA",24,48,2
"Beak, Kimberly  ",1303054329,MA,2145,4/17/1966,51,Female,Married,7/21/2016,".Net, Algorithms, Developer, JavaScript","Consulting, Lifecycle, Manager, Management",16,32,5
"Blount, Dianna",1403066125,MA,2171,9/21/1990,27,Female,Single,04-04-2011,"Analyst, Business Analyst, Business Requirements, Consulting","Software, Retail, Buying, Demand Planning",32,64,7
"Bondwell, Betsy",1008021030,MA,2210,1/16/1967,51,Female,Single,01-10-2011,".Net, Algorithms, Developer, JavaScript","Developer, Development, HTTP, Java",48,96,8
"Buccheri, Joseph  ",1101023457,MA,1013,7/28/1983,34,Male,Single,9/29/2014,"Angular JS, Java/J2EE, Spring , Hibernate","Access, Application, Business Requirements, CASE",52,104,8
"Burke, Joelle",1011022820,MA,2148,03-02-1980,37,Female,Single,03-05-2012,"Algorithm Engineer , Computer vision, Open CV ,algorithm R&D experiences","Mortgage/Equiting Lending, Lean Six Sigma Green Belt/Black Belt",40,80,6
"Burkett, Benjamin ",1301052449,MA,1890,8/19/1977,40,Male,Married,04-04-2011,"Node.js, JavaScript","Analysis, Architecture, Business Requirements, Citrix",60,120,4
"Cloninger, Jennifer",1012023226,MA,1752,8/31/1981,36,Female,Married,5/16/2011,"SAP APO, MS Excel, BW reporting, Pharma or Biotech","CSS, HTML, HTTP",80,160,5
"Close, Phil",1209048697,MA,2169,11/25/1978,39,Male,Married,8/30/2010,"Linux, OOD, OOP, Programming","VNF Manager ,CI/CD",24,48,6
"Davis, Daniel",1201031274,MA,2458,9/14/1979,38,Male,Single,11-07-2011,"Project coordinator,procurement,budget","Architecture, CSS, Developer, Development",16,32,3
"Demita, Carla",1104025179,MA,2343,2/25/1951,66,Female,Separated,04-04-2011,"Oracle R12 E-Business, General Ledger, Asset Management, Projects",Point of Sale System Help Desk Manager,32,64,2
"Erilus, Angela",1105025661,MA,2133,8/25/1989,28,Female,Separated,07-07-2014,"Scientific Software, Business Analyst, Drug Development, biotech","Access, Brocade, Consulting, Engineer",48,96,5
"Faller, Megan ",1108028428,MA,1824,9/22/1978,39,Female,Married,07-07-2014,"Application, C++, Development, Engineer","Access, AML, Application, Business Requirements",52,104,10
"Fancett, Nicole",1402065085,MA,2324,9/27/1987,30,Female,Single,2/17/2014,"Developer, Hardware, Java, Linux","Access, Apache, Applications, Computer",40,80,4
"Fitzpatrick, Michael  J",1109029103,MA,2143,10-01-1981,36,Male,Single,5/16/2011,"C#, SQL, Stored Procedures, .NET","Agile, CSS, HTML, HTTP",60,120,12
"Foreman, Tanya",1012023204,MA,2170,11-08-1983,34,Female,Married,04-04-2011,"Algorithms, C++, Developer, Development","AP Technical Lead, SAP ERP, SAP ECC, HANA",80,160,4
"Gonzalez, Juan",1411071324,MA,2128,10-12-1964,53,Male,Married,4/26/2010,"business development, sales, staffing","Contract Independent, Contract W2",24,48,7
"Good, Susan",1001549006,MA,1886,5/25/1986,31,Female,Married,05-12-2014,"Analyst, Applications, Computer, Database","SOX, SARBANES OXLEY, SARBANES, AUDIT",16,32,9
"Gosciminski, Phylicia  ",1108028351,MA,1824,12-08-1983,34,Female,Separated,9/30/2013,"DevOps Engineer, Chef, Jenkins","java, javascript, aws, amazon web services",32,64,3
"Hankard, Earnest",1307059937,MA,2155,08-10-1988,29,Male,Single,11-11-2013,"Network Engineering, IP Video Delivery, Content Delivery Networks, Linux System Admin",COBOL,48,96,4
"Hendrickson, Trina",1011022932,MA,2021,8/27/1972,45,Female,Single,01-10-2011,Java and C/C++,"digital analytics, Google, Adobe, Tableau",52,104,7
"Homberger, Adrienne  J",1207046956,MA,2445,2/16/1984,33,Female,Married,8/15/2011,"CISSP, CISM, CISA","Access, Analytical, Computer, Consulting",80,160,8
"Hunts, Julissa",1106026433,MA,2021,03-11-1984,33,Female,Single,06-06-2016,"Consulting, Lifecycle, Manager, Management","Agile, Analysis, Automated, CSS",24,48,3
"Hutter, Rosalie",1103024924,MA,2351,05-07-1992,25,Female,Separated,06-05-2015,"Software, Retail, Buying, Demand Planning",PCI,16,32,2
"Huynh, Ming",1306058509,MA,1742,9/22/1976,41,Female,Divorced,2/21/2011,"Developer, Development, HTTP, Java","iOS, Android, REST API, SQL",32,64,5
"Jeannite, Tayana",1008020942,MA,1821,11-06-1986,31,Female,Divorced,07-05-2011,"Access, Application, Business Requirements, CASE","Access, Analytical, Analytical Skills, BASIC",48,96,7
"Johnston, Yen",1306057810,MA,2128,09-08-1969,48,Female,Single,07-07-2014,"Mortgage/Equiting Lending, Lean Six Sigma Green Belt/Black Belt",".Net, Access, Analysis, API",52,104,8
"Langford, Lindsey",1010022030,MA,2090,7/25/1979,38,Female,Divorced,01-07-2013,"Analysis, Architecture, Business Requirements, Citrix",".Net, Access, Analyst, Application",40,80,8
"Latif, Mohammed",1104025486,MA,2126,05-09-1984,33,Male,Married,04-02-2012,"CSS, HTML, HTTP","Access, Analysis, Analyst, Analytical",60,120,6
"Linden, Mathew",1405067565,MA,1770,3/19/1979,38,Male,Married,07-08-2013,"VNF Manager ,CI/CD","Analysis, CRM, Development, Development Manager",80,160,4
"Lundy, Susan",1305056276,MA,2122,12/26/1976,41,Female,widowed,07-08-2013,"Architecture, CSS, Developer, Development","Java, OSS",24,48,5
"Lunquist, Lisa",1001504432,MA,2324,3/28/1982,35,Female,Single,8/19/2013,Point of Sale System Help Desk Manager,"Consulting, Project, Sales, Sales Engineer",16,32,6
"Manchester, Robyn",1110029623,MA,2324,8/25/1976,41,Female,Married,05-11-2016,"Access, Brocade, Consulting, Engineer","QA, Test Automated",32,64,3
"Mancuso, Karen",1304055986,MA,2176,12-10-1986,31,Female,Married,07-05-2011,"Access, AML, Application, Business Requirements","Desktop, Hardware, Network, Software",48,96,2
"McCarthy, Brigit",1406067957,MA,2149,5/21/1987,30,Female,Single,3/30/2015,"Access, Apache, Applications, Computer","Analysis, Analyst, Application, Business Analyst",52,104,5
"Miller, Ned",1205033439,MA,2472,6/29/1985,32,Male,Single,8/15/2011,"Agile, CSS, HTML, HTTP","System Testing, Load/Performance Testing, FIX.FAST, C/C++",40,80,10
"Monkfish, Erasumus  ",1404066711,MA,1450,8/17/1992,25,Male,Married,11-07-2011,"AP Technical Lead, SAP ERP, SAP ECC, HANA","Agile, CASE, Consulting, Defect Management",60,120,4
"Monterro, Luisa",1001103149,MA,2126,4/24/1970,47,Female,Single,5/13/2013,"Contract Independent, Contract W2","MATLAB, LabVIEW",80,160,12
"Moran, Patrick",1408069503,MA,2127,12-03-1976,41,Male,Single,01-09-2012,"SOX, SARBANES OXLEY, SARBANES, AUDIT","Angular.JS, React, Node.js, JavaScript",24,48,4
"Moumanil, Maliki ",1301052436,MA,1460,12-01-1974,43,Male,Separated,5/13/2013,"java, javascript, aws, amazon web services",selenium testing automation,16,32,7
"Nowlan, Kristie",1104025435,MA,1040,11/23/1985,32,Female,Single,11-10-2014,COBOL,"C and C++, Linux, UNIX",32,64,9
"Oliver, Brooke ",1001856521,MA,2492,02-11-1952,65,Female,Married,5/14/2012,"digital analytics, Google, Adobe, Tableau","Development, IT, Network, Project",48,96,3
"Pelletier, Ermine",1202031821,MA,2472,7/18/1989,28,Female,Married,07-05-2011,"Access, Analytical, Computer, Consulting","Android, Mobile",52,104,4
"Peters, Lauren",1411071406,MA,1886,8/17/1986,31,Female,Married,5/16/2011,"Agile, Analysis, Automated, CSS","Scheduling, Primavera 6.0, Unifier, MS Project Stadard",80,160,7
"Petingill, Shana  ",1103024843,MA,2050,03-10-1979,38,Female,Married,04-02-2012,PCI,"AI, Maya, Browzwear, 3D",24,48,8
"Roberson, May",1402065340,MA,1902,09-05-1981,36,Female,Divorced,9/26/2011,"iOS, Android, REST API, SQL","Java and Java EE, JSF, Spring, Struts",16,32,3
"Robertson, Peter",1499902991,MA,2138,07-03-1972,45,Male,Married,07-05-2011,"Access, Analytical, Analytical Skills, BASIC","Consulting, Database, Lifecycle, Management",32,64,2
"Sahoo, Adil",1106026462,MA,2062,4/26/1986,31,Male,Married,8/30/2010,".Net, Access, Analysis, API",".NET and C#, SQl",48,96,5
"Sloan, Constance",1012023103,MA,1851,11/25/1987,30,Female,Single,10/26/2009,".Net, Access, Analyst, Application","Project Management, Operations Analysis, BANKING, (Financial Services",52,104,7
"Smith, Joe",1001970770,MA,2045,10/30/1963,54,Male,Single,9/29/2014,"Access, Analysis, Analyst, Analytical","Informatica Admin,Oracle,Sql",40,80,8
"Tejeda, Lenora ",1406068345,MA,2129,5/24/1953,64,Female,Married,5/16/2011,"Analysis, CRM, Development, Development Manager","Analysis, Analyst, Business Analyst, Consulting",60,120,8
"Thibaud, Kenneth",1011022777,MA,2472,9/16/1975,42,Male,widowed,6/25/2007,"Java, OSS",".Net, TFS, Web services, WCF",80,160,6
"Trzeciak, Cybil",1107027551,MA,1778,3/15/1985,32,Female,Single,01-10-2011,"Consulting, Project, Sales, Sales Engineer","HTML, JavaScript, CSS, AJAX",24,48,4
"Walker, Roger",1011022818,MA,2459,02-10-1976,41,Male,Single,8/18/2014,"QA, Test Automated",".Net, Algorithms, Developer, JavaScript",16,32,5
"Winthrop, Jordan  ",1405067188,MA,2045,11-07-1958,59,male,Single,01-07-2013,"Desktop, Hardware, Network, Software","Java, OSS",32,64,6
"Wolk, Hang  T",1205033180,MA,2302,4/20/1985,32,Female,Single,9/29/2014,"Analysis, Analyst, Application, Business Analyst","Consulting, Project, Sales, Sales Engineer",48,96,3
"Woodson, Jason",1012023010,MA,1810,05-11-1985,32,Male,Single,07-07-2014,"System Testing, Load/Performance Testing, FIX.FAST, C/C++","QA, Test Automated",52,104,2
"Buck, Edward",1504073313,MA,2330,07-07-1975,42,Male,Married,9/29/2014,"Agile, CASE, Consulting, Defect Management","Desktop, Hardware, Network, Software",40,80,5
"Bunbury, Jessica",1504073368,VA,21851,06-01-1964,53,Female,Married,8/15/2011,"MATLAB, LabVIEW","Analysis, Analyst, Application, Business Analyst",60,120,10
"Carter, Michelle ",1403065721,VT,5664,5/15/1963,54,Female,Single,8/18/2014,"Angular.JS, React, Node.js, JavaScript","System Testing, Load/Performance Testing, FIX.FAST, C/C++",80,160,4
"Costa, Latia",1409070567,CA,90007,11-08-1988,29,Female,Single,01-10-2011,selenium testing automation,"Agile, CASE, Consulting, Defect Management",24,48,12
"Dietrich, Jenna  ",1408069481,WA,98052,5/14/1987,30,Female,Single,2/20/2012,"C and C++, Linux, UNIX","MATLAB, LabVIEW",16,32,4
"Digitale, Alfred",1306059197,NH,3062,9/14/1988,29,Male,Married,8/18/2014,"Development, IT, Network, Project","Angular.JS, React, Node.js, JavaScript",32,64,7
"Fraval, Maruk ",1411071302,CT,6050,8/28/1963,54,Male,Single,09-06-2011,"Android, Mobile",selenium testing automation,48,96,9
"Friedman, Gerry",1204032843,NY,10171,2/24/1969,48,Male,Single,03-07-2011,"Scheduling, Primavera 6.0, Unifier, MS Project Stadard","C and C++, Linux, UNIX",52,104,3
"Gill, Whitney  ",1302053046,OH,43050,07-10-1971,46,Female,widowed,07-07-2014,"AI, Maya, Browzwear, 3D","Development, IT, Network, Project",80,160,4
"Givens, Myriam",1203032099,IN,46204,9/22/1989,28,Female,Single,2/16/2015,"Java and Java EE, JSF, Spring, Struts","Android, Mobile",24,48,7
"Gonzales, Ricardo",1411071481,ID,83706,10-12-1954,63,Male,Married,05-12-2014,"Consulting, Database, Lifecycle, Management","Scheduling, Primavera 6.0, Unifier, MS Project Stadard",16,32,8
"Guilianno, Mike",1001167253,TN,37129,02-09-1969,48,Male,Single,03-07-2011,".NET and C#, SQl","AI, Maya, Browzwear, 3D",32,64,3
Jeremy Prater,1001084890,NV,89139,05-09-1974,43,Male,Married,05-12-2014,"Project Management, Operations Analysis, BANKING, (Financial Services","Java and Java EE, JSF, Spring, Struts",48,96,2
"Khemmich, Bartholemew",1104025008,CO,80820,11/27/1979,38,Male,Single,8/19/2013,"Informatica Admin,Oracle,Sql","Consulting, Database, Lifecycle, Management",52,104,5
"Leruth, Giovanni",1412071660,UT,84111,12/27/1988,29,Male,Separated,4/30/2012,"Analysis, Analyst, Business Analyst, Consulting",".NET and C#, SQl",40,80,7
"Martins, Joseph",1209048771,TX,78207,06-11-1970,47,Male,Single,5/14/2012,".Net, TFS, Web services, WCF","Project Management, Operations Analysis, BANKING, (Financial Services",60,120,8
"McKinzie, Jac",1209049326,TX,78789,07-01-1984,33,Male,Married,07-06-2016,"HTML, JavaScript, CSS, AJAX","Informatica Admin,Oracle,Sql",80,160,8
"Mullaney, Howard",1306057978,AL,36006,11-02-1975,42,Male,Single,9/29/2014,".Net, Algorithms, Developer, JavaScript","Analysis, Analyst, Business Analyst, Consulting",24,48,6
"Nguyen, Dheepa",1111030684,GA,30428,3/31/1989,28,Female,Single,07-08-2013,"Java, OSS",".Net, TFS, Web services, WCF",16,32,4
"Onque, Jasmine",1501072180,FL,33174,05-11-1990,27,Female,Single,9/30/2013,"Consulting, Project, Sales, Sales Engineer","HTML, JavaScript, CSS, AJAX",32,64,5
"Ozark, Travis",812011761,NC,27229,5/19/1982,35,Male,Single,01-05-2015,"QA, Test Automated",".Net, Access, Analysis, API",48,96,6
"Potts, Xana",1102024106,KY,40220,8/29/1988,29,Female,Married,01-09-2012,"Desktop, Hardware, Network, Software",".Net, Access, Analyst, Application",52,104,3
"Riordan, Michael",1502072711,ND,58782,1/15/1968,50,Male,Separated,01-09-2006,"Analysis, Analyst, Application, Business Analyst","Access, Analysis, Analyst, Analytical",40,80,2
"Strong, Caitrin",1411071295,MT,59102,05-12-1989,28,Female,Married,9/27/2010,"System Testing, Load/Performance Testing, FIX.FAST, C/C++","Analysis, CRM, Development, Development Manager",60,120,5
"Terry, Sharlene ",1401064637,OR,97756,05-07-1965,52,Female,Single,9/29/2014,"Agile, CASE, Consulting, Defect Management","FICO, AR, AP, Asset Management",80,160,10
"Valentin,Jackie",1312063714,AZ,85006,5/23/1991,26,Female,Married,07-05-2011,"MATLAB, LabVIEW","Cisco, DNS, HTTP, Networking",24,48,4
"Villanueva, Noah",1111030503,ME,4063,07-11-1989,28,Male,Single,03-05-2012,"Angular.JS, React, Node.js, JavaScript",".NET , C#, MVC, RESTful web services",16,32,12
"Houlihan, Debra",1009021646,RI,2908,3/17/1966,51,Female,Married,05-05-2014,selenium testing automation,"C++, Developer, Development, JavaScript",32,64,4
"Daneault, Lynn",1402065303,VT,5473,4/19/1990,27,Female,Single,05-05-2014,"C and C++, Linux, UNIX","Unix, IAM, Scripting knowledge, OIM",48,96,7
"Kampew, Donysha    ",1109029264,PA,19444,11-11-1989,28,Female,Single,11-07-2011,"Development, IT, Network, Project","Java, OSS",52,104,9
"Smith, John",1499902910,MA,1886,8/16/1984,33,Male,Divorced,5/18/2014,"Android, Mobile","Consulting, Project, Sales, Sales Engineer",80,160,3
"Andreola, Colby",1107027358,MA,2110,5/24/1979,38,Female,Single,11-10-2014,"Scheduling, Primavera 6.0, Unifier, MS Project Stadard","QA, Test Automated",24,48,4
"Carabbio, Judith",1101023577,MA,2132,04-05-1987,30,Female,Single,11-11-2013,"AI, Maya, Browzwear, 3D","Desktop, Hardware, Network, Software",16,32,7
"Del Bosque, Keyla",1203032498,MA,2176,07-05-1979,38,Female,Single,01-09-2012,"Java and Java EE, JSF, Spring, Struts","Analysis, Analyst, Application, Business Analyst",32,64,8
"Exantus, Susan",1401064670,MA,1749,5/15/1987,30,Female,Married,05-02-2011,"Consulting, Database, Lifecycle, Management","System Testing, Load/Performance Testing, FIX.FAST, C/C++",48,96,3
"Martin, Sandra",1303054625,MA,2135,11-07-1987,30,Female,Separated,11-11-2013,".NET and C#, SQl","Agile, CASE, Consulting, Defect Management",52,104,2
"Patronick, Luke",1112030979,MA,1844,2/20/1979,38,Male,Single,11-07-2011,"Project Management, Operations Analysis, BANKING, (Financial Services","MATLAB, LabVIEW",40,80,5
"Saada, Adell",1012023185,MA,2132,7/24/1986,31,Female,Married,11-05-2012,"Informatica Admin,Oracle,Sql","Angular.JS, React, Node.js, JavaScript",60,120,7
"Szabo, Andrew",1201031324,MA,2140,05-06-1983,34,Male,Single,07-07-2014,"Analysis, Analyst, Business Analyst, Consulting",selenium testing automation,80,160,8
"True, Edward",1102024057,MA,2451,6/14/1983,34,Male,Single,2/18/2013,".Net, TFS, Web services, WCF","C and C++, Linux, UNIX",24,48,7
"Sweetwater, Alex",1001644719,MA,2184,11/22/1966,51,Male,Single,8/15/2011,"HTML, JavaScript, CSS, AJAX","Development, IT, Network, Project",16,32,8
